ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2021-05-08 00:00:00,001,颗粒物,3.35,20,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2021-05-08 00:00:00,002,二氧化硫,46.95,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2021-05-08 00:00:00,003,氮氧化物,116.19,250,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2021-05-08 00:00:00,004,一氧化碳,34.79,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10A1436D310CED3DD4,2021-05-08 00:00:00,008,氯化氢,3.71,50,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2021-05-08 00:00:00,001,颗粒物,,20,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:34.84,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2021-05-08 00:00:00,002,二氧化硫,,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:34.84,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2021-05-08 00:00:00,003,氮氧化物,,250,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:34.84,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2021-05-08 00:00:00,004,一氧化碳,,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:34.84,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10AAC64EE02879BA5A,2021-05-08 00:00:00,008,氯化氢,,50,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:34.84,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2021-05-08 00:00:00,001,颗粒物,5.07,20,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2021-05-08 00:00:00,002,二氧化硫,46.42,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2021-05-08 00:00:00,003,氮氧化物,72.76,250,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2021-05-08 00:00:00,004,一氧化碳,43.9,80,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
2A6A8F66F7218A10697E52C76AE4B961,2A6A8F66F7218A10C8F2F0017DBA031D,2021-05-08 00:00:00,008,氯化氢,3.95,50,,0,0,2021-05-09T09:22:34.84,2021-05-09T09:22:42.273,20210508
