ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54EFECB5110F28483E,2021-05-30 00:00:00,001,颗粒物,6.05,20,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54EFECB5110F28483E,2021-05-30 00:00:00,002,二氧化硫,46.36,80,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54EFECB5110F28483E,2021-05-30 00:00:00,003,氮氧化物,219.58,250,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54EFECB5110F28483E,2021-05-30 00:00:00,004,一氧化碳,0.23,80,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54EFECB5110F28483E,2021-05-30 00:00:00,008,氯化氢,21.08,50,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54C725EC9B1DFD71FC,2021-05-30 00:00:00,001,颗粒物,4.48,20,通讯中断,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54C725EC9B1DFD71FC,2021-05-30 00:00:00,002,二氧化硫,47.1,80,通讯中断,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54C725EC9B1DFD71FC,2021-05-30 00:00:00,003,氮氧化物,197.97,250,通讯中断,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54C725EC9B1DFD71FC,2021-05-30 00:00:00,004,一氧化碳,0.62,80,通讯中断,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54C725EC9B1DFD71FC,2021-05-30 00:00:00,008,氯化氢,25.17,50,通讯中断,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54E5A48B950047C442,2021-05-30 00:00:00,001,颗粒物,5.54,20,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54E5A48B950047C442,2021-05-30 00:00:00,002,二氧化硫,38.44,80,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54E5A48B950047C442,2021-05-30 00:00:00,003,氮氧化物,196.78,250,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54E5A48B950047C442,2021-05-30 00:00:00,004,一氧化碳,0.32,80,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
08A06AB7A6A46D549088A1CD6CD98971,08A06AB7A6A46D54E5A48B950047C442,2021-05-30 00:00:00,008,氯化氢,19.51,50,,0,0,2021-05-31T09:55:47.533,2021-05-31T09:55:56.937,20210530
