ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-05-12 00:00:00,001,颗粒物,0.77,20,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-05-12 00:00:00,002,二氧化硫,0.62,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-05-12 00:00:00,003,氮氧化物,51.27,250,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-05-12 00:00:00,004,一氧化碳,3.71,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2021-05-12 00:00:00,008,氯化氢,0.76,50,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-05-12 00:00:00,001,颗粒物,1.58,20,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-05-12 00:00:00,002,二氧化硫,0.38,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-05-12 00:00:00,003,氮氧化物,48.89,250,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-05-12 00:00:00,004,一氧化碳,5.77,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2021-05-12 00:00:00,008,氯化氢,1.32,50,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-05-12 00:00:00,001,颗粒物,,20,CEMS维护,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:28.213,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-05-12 00:00:00,002,二氧化硫,,80,CEMS维护,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:28.213,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-05-12 00:00:00,003,氮氧化物,,250,CEMS维护,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:28.213,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-05-12 00:00:00,004,一氧化碳,,80,CEMS维护,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:28.213,20210512
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2021-05-12 00:00:00,008,氯化氢,,50,CEMS维护,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:28.213,20210512
