ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D375BA107D0AB6C9E6E,2021-05-22 00:00:00,001,颗粒物,1.36,20,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D375BA107D0AB6C9E6E,2021-05-22 00:00:00,002,二氧化硫,8.22,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D375BA107D0AB6C9E6E,2021-05-22 00:00:00,003,氮氧化物,174.72,250,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D375BA107D0AB6C9E6E,2021-05-22 00:00:00,004,一氧化碳,51.74,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D375BA107D0AB6C9E6E,2021-05-22 00:00:00,008,氯化氢,35.97,50,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D379EA530F9241F09F3,2021-05-22 00:00:00,001,颗粒物,,20,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:40.5,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D379EA530F9241F09F3,2021-05-22 00:00:00,002,二氧化硫,,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:40.5,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D379EA530F9241F09F3,2021-05-22 00:00:00,003,氮氧化物,,250,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:40.5,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D379EA530F9241F09F3,2021-05-22 00:00:00,004,一氧化碳,,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:40.5,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D379EA530F9241F09F3,2021-05-22 00:00:00,008,氯化氢,,50,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:40.5,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D376CDC77A344511A0D,2021-05-22 00:00:00,001,颗粒物,4.35,20,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D376CDC77A344511A0D,2021-05-22 00:00:00,002,二氧化硫,4.49,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D376CDC77A344511A0D,2021-05-22 00:00:00,003,氮氧化物,182.4,250,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D376CDC77A344511A0D,2021-05-22 00:00:00,004,一氧化碳,26.01,80,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
3BAF3198C0944D376C199DCEC75CF42D,3BAF3198C0944D376CDC77A344511A0D,2021-05-22 00:00:00,008,氯化氢,29.79,50,,0,0,2021-05-23T09:25:40.5,2021-05-23T09:25:44.32,20210522
