ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2021-05-15 00:00:00,001,颗粒物,0.55,20,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2021-05-15 00:00:00,002,二氧化硫,13.81,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2021-05-15 00:00:00,003,氮氧化物,172.2,250,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2021-05-15 00:00:00,004,一氧化碳,2.81,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C4157C70B26751D47BD3,2021-05-15 00:00:00,008,氯化氢,2.08,50,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2021-05-15 00:00:00,001,颗粒物,2.33,20,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2021-05-15 00:00:00,002,二氧化硫,50.98,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2021-05-15 00:00:00,003,氮氧化物,169.4,250,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2021-05-15 00:00:00,004,一氧化碳,1.25,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C41507BE3DA81C682574,2021-05-15 00:00:00,008,氯化氢,1.49,50,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2021-05-15 00:00:00,001,颗粒物,3.15,20,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2021-05-15 00:00:00,002,二氧化硫,15.0,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2021-05-15 00:00:00,003,氮氧化物,128.2,250,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2021-05-15 00:00:00,004,一氧化碳,6.25,80,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
A9C4EA6459B5C4153AEB497F326136C9,A9C4EA6459B5C415DD8D5D9CE0713E40,2021-05-15 00:00:00,008,氯化氢,17.31,50,,0,0,2021-05-16T09:28:25.797,2021-05-16T09:28:32.397,20210515
