ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BC79F9B64E7DD7522,2021-05-02 00:00:00,001,颗粒物,1.12,20,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BC79F9B64E7DD7522,2021-05-02 00:00:00,002,二氧化硫,1.24,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BC79F9B64E7DD7522,2021-05-02 00:00:00,003,氮氧化物,135.49,250,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BC79F9B64E7DD7522,2021-05-02 00:00:00,004,一氧化碳,3.04,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BC79F9B64E7DD7522,2021-05-02 00:00:00,008,氯化氢,0.83,50,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984B3F2DA11D377431E7,2021-05-02 00:00:00,001,颗粒物,,20,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:39.693,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984B3F2DA11D377431E7,2021-05-02 00:00:00,002,二氧化硫,,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:39.693,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984B3F2DA11D377431E7,2021-05-02 00:00:00,003,氮氧化物,,250,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:39.693,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984B3F2DA11D377431E7,2021-05-02 00:00:00,004,一氧化碳,,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:39.693,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984B3F2DA11D377431E7,2021-05-02 00:00:00,008,氯化氢,,50,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:39.693,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BAAEC3A532AC2974D,2021-05-02 00:00:00,001,颗粒物,0.55,20,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BAAEC3A532AC2974D,2021-05-02 00:00:00,002,二氧化硫,0.82,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BAAEC3A532AC2974D,2021-05-02 00:00:00,003,氮氧化物,151.73,250,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BAAEC3A532AC2974D,2021-05-02 00:00:00,004,一氧化碳,1.05,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BAAEC3A532AC2974D,2021-05-02 00:00:00,008,氯化氢,0.46,50,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BF16BD962454BD0E2,2021-05-02 00:00:00,001,颗粒物,0.54,20,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BF16BD962454BD0E2,2021-05-02 00:00:00,002,二氧化硫,0.8,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BF16BD962454BD0E2,2021-05-02 00:00:00,003,氮氧化物,133.17,250,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BF16BD962454BD0E2,2021-05-02 00:00:00,004,一氧化碳,7.43,80,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
A72A7408C1DC984BA86842468574EB16,A72A7408C1DC984BF16BD962454BD0E2,2021-05-02 00:00:00,008,氯化氢,1.26,50,,0,0,2021-05-03T09:22:39.693,2021-05-03T09:22:48.29,20210502
