ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2021-05-12 00:00:00,001,颗粒物,13.32,20,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2021-05-12 00:00:00,002,二氧化硫,7.54,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2021-05-12 00:00:00,003,氮氧化物,186.16,250,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2021-05-12 00:00:00,004,一氧化碳,1.0,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BD370990FF6E377B5,2021-05-12 00:00:00,008,氯化氢,6.5,50,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2021-05-12 00:00:00,001,颗粒物,12.05,20,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2021-05-12 00:00:00,002,二氧化硫,10.07,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2021-05-12 00:00:00,003,氮氧化物,181.68,250,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2021-05-12 00:00:00,004,一氧化碳,3.25,80,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
A72A7408C1DC984BB2713E4B30C50E02,A72A7408C1DC984BFA8E934B2090105E,2021-05-12 00:00:00,008,氯化氢,4.9,50,,0,0,2021-05-13T09:37:28.213,2021-05-13T09:37:45.74,20210512
